category,client,Human,customer,software,Work,process,other,Management,sale,plan,system,record,change,Singapore,talent,company,recruitment,Photoshop,office,opportunity,knowledge,Responsibilities,cloud,code,Adobe,team,Java,visual,solution,target,Software,technical,good,web,game,year,design,Business,level,such,s,experience,strong,Excellent,technology,digital,work,material,content,service,information,@,strategy,candidate,understanding,industry,project,business,activity,Design,performance,Job,user,platform,Requirements,market,Development,graphic,asset,’,Salary,test,Experience,creative,creation,employee,Diploma,Good,HR,/,art,application,Computer,ability,Sales,environment,management,No,medium,initiative,duty,order,ByteDance,relationship,communication,need,new,job,Art,tool,product,Location,video,training,skill,requirement,account,EA,quality,role,matter,development,Strong,marketing,resume,data
sales,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
arts,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,0,0,0,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
arts,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,3,0,0,1,87,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1
arts,0,0,0,2,4,1,3,0,0,0,2,0,0,0,1,0,0,1,0,3,1,1,0,0,1,5,0,5,0,0,0,0,0,1,0,0,15,0,0,3,238,3,1,0,0,0,8,0,0,0,0,0,2,0,0,0,1,1,0,4,0,1,0,0,1,2,1,1,0,1,1,0,0,9,0,0,0,1,0,48,9,5,0,0,0,2,0,0,1,0,0,0,0,0,2,1,2,3,0,0,0,1,0,0,4,0,1,0,1,1,0,0,1,1,0,0
hr,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sales,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,61,1,0,2,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sales,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,2,1,0,0,0,0,25,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
sales,0,0,8,1,1,0,0,1,15,2,0,1,0,6,0,0,1,0,0,0,2,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,275,1,3,2,3,0,4,0,0,1,2,0,0,0,1,0,0,7,0,0,0,1,0,0,0,11,0,0,0,3,0,0,0,1,0,0,0,1,0,81,8,0,0,7,1,4,3,0,0,0,0,0,0,4,2,0,2,3,3,1,6,1,0,0,5,0,1,0,0,0,0,1,2,3,0,2
sales,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hr,0,1,0,0,3,6,1,0,0,1,0,1,0,0,5,7,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,2,0,123,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,8,47,3,0,0,1,0,0,4,4,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1,1,1,1,1,0,3,0,2,0,0,0,0
